temp,tau_1,tau_2,tau_3
4.8,3.2625389279190298,2.336879601627092,1.4509901096314095
4.7,5.2875262520371935,3.2139380608589105,1.579448729093527
4.6,11.43922210292956,5.671072343546804,2.099919985236569
4.55,19.62970629382069,7.2305343766007715,2.449932604130085
4.5,27.580801407044845,10.120438386315149,2.6680792437482457
4.44,12.599569488002686,7.916120590433722,2.4443887644833087
4.4,7.367872871815538,5.868856862120429,1.948013286027219
4.3,2.418473071509975,2.0298330107638103,1.2415514661847356
4.35,3.639681837267996,2.5153022018756515,1.4598657765095695
4.65,7.598543290025504,4.246026331197907,1.663028518021568
4.75,4.093142832025388,2.790032735846902,1.551277278641218
4.25,2.0965866781575206,1.461617349888235,1.1855914277387165
4.85,2.745404260011533,2.0508200057420725,1.2331446665870271
4.9,3.4912384862441845,2.861990145020403,2.243308151959196
